Wavelength (nm),Non protected Aluminum: NiCr + Al,Protected Aluminum: NiCr + Al + SiN4 (2nm),M2 protected Silver (average of 6 witness samples)
471,91.43,90.86,97.39
470,91.44,90.85,97.38
469,91.43,90.85,97.36
468,91.43,90.86,97.35
467,91.45,90.87,97.33
466,91.46,90.87,97.31
465,91.46,90.88,97.28
464,91.47,90.88,97.27
463,91.46,90.88,97.25
462,91.47,90.89,97.23
461,91.48,90.89,97.20
460,91.47,90.89,97.19
459,91.48,90.89,97.18
458,91.48,90.92,97.15
457,91.50,90.91,97.14
456,91.49,90.93,97.11
455,91.49,90.92,97.09
454,91.49,90.93,97.07
453,91.50,90.92,97.05
452,91.49,90.94,97.02
451,91.50,90.94,97.01
450,91.51,90.94,96.98
449,91.51,90.95,96.96
448,91.49,90.94,96.93
447,91.53,90.95,96.91
446,91.54,90.96,96.88
445,91.52,90.98,96.85
444,91.53,90.95,96.83
443,91.52,90.97,96.80
442,91.53,90.97,96.78
441,91.53,90.99,96.73
440,91.54,90.96,96.73
439,91.54,90.99,96.70
438,91.54,90.98,96.66
437,91.54,90.98,96.63
436,91.54,91.00,96.59
435,91.55,91.00,96.55
434,91.54,91.01,96.54
433,91.55,90.98,96.50
432,91.53,91.02,96.47
431,91.53,90.99,96.43
430,91.54,91.02,96.39
429,91.55,91.00,96.35
428,91.56,91.03,96.32
427,91.56,91.00,96.28
426,91.57,91.00,96.24
425,91.59,91.02,96.20
424,91.58,90.99,96.17
423,91.56,91.03,96.14
422,91.58,91.02,96.07
421,91.58,91.04,96.04
420,91.56,91.05,95.98
419,91.58,91.04,95.94
418,91.58,91.05,95.89
417,91.57,91.05,95.84
416,91.58,91.05,95.80
415,91.60,91.04,95.76
414,91.59,91.07,95.68
413,91.61,91.05,95.62
412,91.61,91.05,95.56
411,91.55,91.05,95.50
410,91.60,91.04,95.46
409,91.60,91.11,95.39
408,91.65,91.09,95.34
407,91.64,91.07,95.26
406,91.62,91.03,95.17
405,91.58,91.07,95.12
404,91.59,91.09,95.04
403,91.62,91.07,94.95
402,91.61,91.09,94.92
401,91.60,91.07,94.80
400,91.57,91.07,94.75
399,91.62,91.08,94.66
398,91.60,91.06,94.57
397,91.62,91.10,94.47
396,91.56,91.01,94.39
395,91.66,91.03,94.31
394,91.61,91.04,94.21
393,91.62,91.10,94.14
392,91.63,91.06,94.02
391,91.65,91.05,93.91
390,91.58,91.09,93.81
389,91.62,91.07,93.70
388,91.56,91.12,93.60
387,91.59,91.03,93.48
386,91.60,91.09,93.33
385,91.60,91.05,93.29
384,91.63,91.07,93.15
383,91.57,91.04,93.02
382,91.59,91.13,92.89
381,91.59,90.98,92.79
380,91.64,91.15,92.66
379,91.56,91.11,92.54
378,91.64,91.01,92.38
377,91.59,91.04,92.28
376,91.62,91.03,92.11
375,91.62,91.12,92.02
374,91.63,91.15,91.86
373,91.69,91.07,91.70
372,91.62,91.00,91.57
371,91.56,91.08,91.43
370,91.61,90.99,91.26
369,91.57,91.05,91.09
368,91.68,91.14,90.92
367,91.50,90.98,90.66
366,91.68,91.01,90.35
365,91.62,91.05,90.12
364,91.64,91.00,89.90
363,91.66,91.10,89.71
362,91.71,90.98,89.57
361,91.62,91.15,89.43
360,91.65,90.93,89.23
359,91.66,90.96,88.95
358,91.48,90.95,88.79
357,91.54,90.98,88.68
356,91.70,90.96,88.46
355,91.62,90.74,88.24
354,91.59,90.80,87.95
353,91.66,90.77,87.87
352,91.48,90.98,87.59
351,91.65,90.97,87.21
350,91.51,90.69,86.90
349,91.68,90.90,86.56
348,91.43,90.79,86.31
347,91.63,90.83,85.84
346,91.62,90.99,85.43
345,91.61,90.85,84.90
344,91.54,90.86,84.39
343,91.73,91.11,83.79
342,91.81,91.30,83.05
341,91.57,91.13,82.27
340,91.69,91.39,81.45
339,91.56,90.89,80.31
338,91.41,90.61,79.18
337,91.57,90.75,77.89
336,91.55,91.03,76.41
335,91.91,91.00,74.71
334,91.63,90.81,72.88
333,91.53,91.14,70.60
332,91.27,91.24,67.96
331,91.64,91.32,64.99
330,91.47,91.06,61.14
329,91.41,91.09,57.54
328,91.24,91.29,52.77
327,91.22,90.83,48.34
326,91.78,90.97,43.74
325,91.53,90.63,39.15
324,91.26,90.85,33.88
323,91.05,90.53,29.63
322,91.93,90.61,24.40
321,91.41,90.69,18.86
320,91.27,90.79,16.16
319,91.18,90.36,10.54
318,90.90,90.05,10.82
317,91.15,90.29,10.08
316,91.42,90.29,10.62
315,91.10,89.96,12.75
314,91.56,90.39,14.49
313,91.44,90.07,17.13
312,90.57,90.21,18.43
311,90.64,90.02,19.83
310,90.97,89.96,21.29
309,91.03,90.38,23.99
308,91.42,90.12,24.84
307,90.83,90.05,26.37
306,91.34,90.28,27.07
305,90.80,90.20,28.87
304,91.29,90.27,29.65
303,90.84,89.82,31.13
302,90.97,90.17,32.30
301,91.27,89.67,32.65
300,91.07,90.17,33.73
