"#Wavelength in nm, units in L, dB/km; email from Armadillo SIA based on request on ceramoptec.com",,,,,,
Wavelength,UVNSS,UVNS,WFNS,UVWFS-1,UVWFS-2,UVWFS-3
423,19.59009284,27.07093036,28.64950207,37.96309898,31.15314415,32.2158364
424,17.62397342,26.7795994,28.57966591,36.83922497,30.96210628,31.79790243
425,18.14427912,26.65846527,28.32520732,34.65935823,31.36287266,31.38212303
426,20.68944257,26.34824554,28.03763846,32.35151486,31.09128606,31.2399973
427,21.85828193,26.4583091,27.83658311,32.02234464,30.41693763,30.59923174
428,18.28495438,26.18477488,27.49238333,31.99464969,29.97122926,29.9514204
429,18.49209612,25.91634207,27.10443358,33.93133435,29.66619801,29.65397976
430,20.75725787,25.59466648,26.75210796,36.36672586,29.26148866,29.1770405
431,20.09157277,25.31908958,26.45712987,34.62692066,29.10497,29.1785974
432,19.45335706,25.15135713,26.18651186,32.28347301,28.90856008,28.88550598
433,19.83938016,24.81815238,25.9830865,30.52554104,28.92093183,28.7946311
434,19.87212661,24.42082074,25.74685417,27.92239591,28.52256984,28.19951907
435,19.67404256,24.22926385,25.3762019,26.9944657,27.78998675,27.61955996
436,18.70208771,23.93519006,25.18160444,28.04310378,27.78627851,27.09742456
437,17.79302091,23.76755163,25.00126003,27.19543273,27.72054412,26.82194721
438,17.78837248,23.67159815,24.7162718,26.20751073,27.57859665,26.50613745
439,16.99627089,23.51686539,24.33382632,26.16180777,27.2534159,26.32007547
440,20.40555472,23.38356087,24.06969506,27.72043964,26.78344219,25.78962415
441,18.6038216,23.15851745,23.99422218,26.39113157,26.60050802,25.64665753
442,22.42203094,22.84251388,23.80556425,25.88973429,25.84964776,25.50543087
443,22.1364208,22.66492408,23.50536094,29.1797445,25.54950874,25.34590966
444,20.18268854,22.45088298,23.25527846,30.05252976,25.43551979,24.84903264
445,19.20852935,22.08050014,22.99004666,28.17088718,25.24425767,24.38606721
446,17.46784925,21.92938388,22.83215914,26.98950282,25.02304902,24.03526339
447,18.23177135,21.8598283,22.46022562,24.4582739,24.7710762,23.93252899
448,21.14594945,21.71254069,22.30084981,23.94516233,24.49344458,23.86759894
449,22.6010071,21.5424787,22.02027075,25.00819082,24.45518362,23.6404299
450,21.18325649,21.27902191,21.91070394,23.96316968,24.24255193,23.43697108
451,21.57111089,21.03614818,21.69739274,23.08818292,23.97380932,23.18892147
452,21.23690867,20.76745825,21.47992972,22.38804242,23.8198893,22.85846612
