LED Item #,M780L3,,,M780LP1,,,M810L3,,,M850L3,,,M850LP1,,,M880L3,,,M940L3,,,M970L4,,,M1050L2,,,M1050L4,,,M1100L1,,,M1300L3,,,M1300L4,,,M1450L4,,,M1550L3,,,M1650L4,
Min Output Power (mW),200,,,800,,,325,,,900,,,1400,,,300,,,800,,,600,,,50,,,160,,,168,,,25,,,122.8,,,81.8,,,31,,,13,
Scaling Constant,5.34E+00,,,2.24E+01,,,8.93E+00,,,2.61E+01,,,3.32E+01,,,5.47E+00,,,1.09E+01,,,9.04E+00,,,6.50E-01,,,3.52E+00,,,2.40E+00,,,2.75E-01,,,1.19E+00,,,6.80E-01,,,2.77E-01,,,7.94E-02,
Spectra,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm) ,Spectral Flux (mW/nm),,Wavelength (nm) ,Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm)
,503.32212,5.93E-03,,206.2293372,0.00E+00,,206.2293372,0.00E+00,,501.85919,2.61E-04,,206.2293372,0.00E+00,,505.90399,2.23E-04,,503.32212,4.40E-02,,206.22934,0.00E+00,,801.96,2.13E-03,,807.38,3.66E-04,,603.613,3.96E-03,,1003.64526,1.33E-02,,631.0,2.61E-02,,1031.00000,4.59E-04,,1001.26,0.00E+00,,1001.25,4.19E-03
,503.47593,9.77E-03,,206.4313747,0.00E+00,,206.4313747,0.00E+00,,502.01432,1.74E-04,,206.4313747,0.00E+00,,506.05641,3.24E-04,,503.47593,4.14E-02,,206.43137,0.00E+00,,802.02,1.63E-03,,807.61,1.01E-04,,603.725,5.64E-03,,1003.76868,1.36E-02,,632.0,9.31E-03,,1032.00000,3.76E-04,,1001.31,0.00E+00,,1001.30,4.17E-03
,503.62975,5.71E-03,,206.6334309,0.00E+00,,206.6334309,0.00E+00,,502.16947,7.83E-04,,206.6334309,0.00E+00,,506.20885,2.50E-04,,503.62975,4.44E-02,,206.63343,0.00E+00,,802.09,1.74E-03,,807.85,3.88E-04,,603.837,3.80E-03,,1003.89209,1.38E-02,,633.0,1.34E-02,,1033.00000,3.96E-04,,1001.36,0.00E+00,,1001.35,4.15E-03
,503.78358,1.29E-02,,206.8355057,0.00E+00,,206.8355057,0.00E+00,,502.32461,0.00E+00,,206.8355057,0.00E+00,,506.36129,2.84E-04,,503.78358,4.27E-02,,206.83551,0.00E+00,,802.15,1.56E-03,,808.09,9.11E-05,,603.948,3.24E-03,,1004.01550,1.41E-02,,634.0,1.86E-02,,1034.00000,3.79E-04,,1001.41,0.00E+00,,1001.40,4.12E-03
,503.93742,8.33E-03,,207.0375992,0.00E+00,,207.0375992,0.00E+00,,502.47977,2.61E-04,,207.0375992,0.00E+00,,506.51375,2.83E-04,,503.93742,4.53E-02,,207.0376,0.00E+00,,802.22,1.06E-03,,808.33,2.95E-04,,604.060,2.85E-03,,1004.13898,1.43E-02,,635.0,1.30E-02,,1035.00000,5.41E-04,,1001.46,0.00E+00,,1001.45,4.10E-03
,504.09126,1.54E-02,,207.2397114,0.00E+00,,207.2397114,0.00E+00,,502.63493,1.74E-04,,207.2397114,0.00E+00,,506.66622,2.16E-04,,504.09126,4.21E-02,,207.23971,0.00E+00,,802.28,9.34E-04,,808.56,9.32E-05,,604.172,4.04E-03,,1004.26251,1.46E-02,,636.0,2.29E-02,,1036.00000,4.77E-04,,1001.50,0.00E+00,,1001.50,4.07E-03
,504.24512,6.19E-03,,207.4418422,0.00E+00,,207.4418422,0.00E+00,,502.7901,2.61E-04,,207.4418422,0.00E+00,,506.81869,3.25E-04,,504.24512,4.42E-02,,207.44184,0.00E+00,,802.34,1.70E-03,,808.80,3.44E-04,,604.284,5.11E-03,,1004.38605,1.47E-02,,637.0,1.87E-02,,1037.00000,3.00E-04,,1001.55,0.00E+00,,1001.55,4.03E-03
,504.39898,1.08E-02,,207.6439917,0.00E+00,,207.6439917,0.00E+00,,502.94528,6.96E-04,,207.6439917,0.00E+00,,506.97118,2.53E-04,,504.39898,4.26E-02,,207.64399,0.00E+00,,802.41,1.59E-03,,809.04,1.11E-04,,604.395,4.76E-03,,1004.50958,1.48E-02,,638.0,1.44E-02,,1038.00000,5.23E-04,,1001.60,0.00E+00,,1001.60,3.99E-03
,504.55286,1.21E-02,,207.8461598,0.00E+00,,207.8461598,0.00E+00,,503.10046,7.83E-04,,207.8461598,0.00E+00,,507.12368,2.92E-04,,504.55286,4.55E-02,,207.84616,0.00E+00,,802.47,1.54E-03,,809.28,4.06E-04,,604.507,6.68E-03,,1004.63318,1.49E-02,,639.0,1.93E-02,,1039.00000,4.15E-04,,1001.65,0.00E+00,,1001.65,3.95E-03
,504.70674,8.54E-03,,208.0483466,0.00E+00,,208.0483466,0.00E+00,,503.25566,1.74E-03,,208.0483466,0.00E+00,,507.27619,2.70E-04,,504.70674,4.34E-02,,208.04835,0.00E+00,,802.54,1.89E-03,,809.52,7.43E-05,,604.619,4.98E-03,,1004.75684,1.50E-02,,640.0,7.77E-03,,1040.00000,5.01E-04,,1001.70,0.00E+00,,1001.70,3.91E-03
,504.86063,5.55E-03,,208.2505521,0.00E+00,,208.2505521,0.00E+00,,503.41086,7.83E-04,,208.2505521,0.00E+00,,507.42871,2.58E-04,,504.86063,4.54E-02,,208.25055,0.00E+00,,802.60,1.78E-03,,809.75,4.17E-04,,604.731,5.48E-03,,1004.88043,1.50E-02,,641.0,2.93E-02,,1041.00000,4.74E-04,,1001.75,0.00E+00,,1001.74,3.88E-03
,505.01453,1.60E-02,,208.4527761,0.00E+00,,208.4527761,0.00E+00,,503.56607,1.74E-04,,208.4527761,0.00E+00,,507.58124,3.05E-04,,505.01453,4.32E-02,,208.45278,0.00E+00,,802.66,2.29E-03,,809.99,1.21E-04,,604.843,5.00E-03,,1005.00415,1.50E-02,,642.0,1.71E-02,,1042.00000,4.04E-04,,1001.80,0.00E+00,,1001.79,3.84E-03
,505.16844,1.28E-02,,208.6550188,0.00E+00,,208.6550188,0.00E+00,,503.72128,0.00E+00,,208.6550188,0.00E+00,,507.73378,2.62E-04,,505.16844,4.55E-02,,208.65502,0.00E+00,,802.73,1.83E-03,,810.23,4.07E-04,,604.955,5.47E-03,,1005.12787,1.50E-02,,643.0,2.35E-02,,1043.00000,3.40E-04,,1001.85,0.00E+00,,1001.84,3.82E-03
,505.32236,1.39E-02,,208.8572802,0.00E+00,,208.8572802,0.00E+00,,503.87651,1.74E-04,,208.8572802,0.00E+00,,507.88633,3.02E-04,,505.32236,4.35E-02,,208.85728,0.00E+00,,802.79,1.88E-03,,810.47,7.28E-05,,605.067,6.36E-03,,1005.25159,1.49E-02,,644.0,1.89E-02,,1044.00000,4.31E-04,,1001.90,0.00E+00,,1001.89,3.80E-03
,505.47629,7.80E-03,,209.0595602,0.00E+00,,209.0595602,0.00E+00,,504.03174,7.83E-04,,209.0595602,0.00E+00,,508.0389,2.19E-04,,505.47629,4.51E-02,,209.05956,0.00E+00,,802.86,2.73E-03,,810.71,4.03E-04,,605.179,4.79E-03,,1005.37537,1.47E-02,,645.0,2.00E-02,,1045.00000,3.79E-04,,1001.95,0.00E+00,,1001.94,3.79E-03
,505.63023,1.46E-02,,209.2618587,0.00E+00,,209.2618587,0.00E+00,,504.18698,0.00E+00,,209.2618587,0.00E+00,,508.19147,3.82E-04,,505.63023,4.34E-02,,209.26186,0.00E+00,,802.92,2.50E-03,,810.94,4.30E-05,,605.291,3.45E-03,,1005.49921,1.46E-02,,646.0,2.05E-02,,1046.00000,3.79E-04,,1002.00,0.00E+00,,1001.99,3.80E-03
,505.78418,9.02E-03,,209.464176,0.00E+00,,209.464176,0.00E+00,,504.34222,0.00E+00,,209.464176,0.00E+00,,508.34405,1.24E-04,,505.78418,4.57E-02,,209.46418,0.00E+00,,802.99,2.29E-03,,811.18,3.61E-04,,605.404,5.74E-03,,1005.62305,1.43E-02,,647.0,1.44E-02,,1047.00000,4.02E-04,,1002.05,0.00E+00,,1002.04,3.81E-03
,505.93813,7.05E-03,,209.6665118,0.00E+00,,209.6665118,0.00E+00,,504.49747,6.96E-04,,209.6665118,0.00E+00,,508.49665,4.19E-04,,505.93813,4.40E-02,,209.66651,0.00E+00,,803.05,2.40E-03,,811.42,1.27E-04,,605.516,3.83E-03,,1005.74689,1.41E-02,,648.0,1.15E-02,,1048.00000,3.32E-04,,1002.09,0.00E+00,,1002.09,3.83E-03
,506.0921,1.27E-02,,209.8688662,0.00E+00,,209.8688662,0.00E+00,,504.65274,2.61E-04,,209.8688662,0.00E+00,,508.64925,1.27E-04,,506.0921,4.55E-02,,209.86887,0.00E+00,,803.11,1.60E-03,,811.66,4.28E-04,,605.628,4.38E-03,,1005.87079,1.38E-02,,649.0,9.36E-03,,1049.00000,4.02E-04,,1002.14,0.00E+00,,1002.14,3.86E-03
,506.24607,1.56E-02,,210.0712393,0.00E+00,,210.0712393,0.00E+00,,504.808,0.00E+00,,210.0712393,0.00E+00,,508.80187,3.59E-04,,506.24607,4.30E-02,,210.07124,0.00E+00,,803.18,2.00E-03,,811.90,1.04E-04,,605.740,3.53E-03,,1005.99475,1.36E-02,,650.0,1.21E-02,,1050.00000,3.88E-04,,1002.19,0.00E+00,,1002.19,3.90E-03
,506.40005,5.34E-03,,210.273631,0.00E+00,,210.273631,0.00E+00,,504.96328,7.83E-04,,210.273631,0.00E+00,,508.9545,2.40E-04,,506.40005,4.55E-02,,210.27363,0.00E+00,,803.24,1.90E-03,,812.13,4.07E-04,,605.853,6.90E-03,,1006.11871,1.35E-02,,651.0,1.50E-02,,1051.00000,3.86E-04,,1002.24,0.00E+00,,1002.24,3.94E-03
